blackroad-systemdesigner|Design system architectures
blackroad-uxarchitect|Design user experience structures
blackroad-interfaceplanner|Plan interfaces and boundaries
blackroad-workflowdesigner|Design workflows and processes
blackroad-layoutengine|Reason about layout and structure
blackroad-modularityadvisor|Advise on modular design
blackroad-abstractiondesigner|Design abstractions
blackroad-patterninventor|Invent reusable design patterns
blackroad-constraintdesigner|Design effective constraints
blackroad-architecturecomposer|Compose large architectures

blackroad-codecomposer|Compose code structures
blackroad-scriptbuilder|Build scripts and automations
blackroad-templateengine|Generate reusable templates
blackroad-boilerplateforge|Forge boilerplate safely
blackroad-configgenerator|Generate configuration files
blackroad-apiassembler|Assemble API designs
blackroad-pipelinebuilder|Build processing pipelines
blackroad-integrationdesigner|Design integrations
blackroad-automationinventor|Invent automations
blackroad-deploymentdesigner|Design deployment strategies

blackroad-ideaexplorer|Explore idea spaces
blackroad-conceptgenerator|Generate new concepts
blackroad-analogyengine|Generate analogies
blackroad-hypothesisgenerator|Generate hypotheses
blackroad-noveltydetector|Detect novelty
blackroad-solutionexpander|Expand solution spaces
blackroad-combinationengine|Combine ideas
blackroad-inventionplanner|Plan inventions
blackroad-designcritic|Critique designs
blackroad-creativitymoderator|Balance creativity and constraints
