blackroad-tutor|Provide guided instruction
blackroad-lessonplanner|Plan lessons and teaching units
blackroad-curriculumdesigner|Design curricula
blackroad-conceptexplainer|Explain complex concepts clearly
blackroad-analogyteacher|Teach using analogies
blackroad-examplegenerator|Generate illustrative examples
blackroad-exercisewriter|Write practice exercises
blackroad-assessmentdesigner|Design assessments
blackroad-feedbackcoach|Provide learning feedback
blackroad-learningpath|Design learning paths

blackroad-howtowriter|Write how-to guides
blackroad-walkthroughbuilder|Build step-by-step walkthroughs
blackroad-quickstart|Create quickstart guides
blackroad-faqbuilder|Build FAQs
blackroad-troubleshootingguide|Create troubleshooting docs
blackroad-referencebuilder|Build reference material
blackroad-cheatsheetmaker|Create cheat sheets
blackroad-glossarycurator|Curate glossaries
blackroad-styleguide|Define style guides
blackroad-clarityeditor|Improve clarity and readability

blackroad-onboardingcoach|Guide onboarding
blackroad-adoptionguide|Guide adoption
blackroad-changeeducator|Educate on change
blackroad-trainingfacilitator|Facilitate training
blackroad-operatormentor|Mentor operators
blackroad-admintrainer|Train administrators
blackroad-userenablement|Enable users
blackroad-stakeholdereducator|Educate stakeholders
blackroad-readinessassessor|Assess readiness
blackroad-successnavigator|Guide success
