blackroad-incidentcommander|Coordinate incident response
blackroad-incidenttriage|Triage incidents rapidly
blackroad-rootcauseinvestigator|Investigate root causes
blackroad-blast-radius|Assess impact radius
blackroad-mttrtracker|Track mean time to recovery
blackroad-uptimeanalyst|Analyze uptime and availability
blackroad-sloadvisor|Advise on SLOs
blackroad-errorbudget|Manage error budgets
blackroad-reliabilitymodel|Model system reliability
blackroad-chaosplanner|Plan chaos experiments

blackroad-failoverplanner|Plan failover strategies
blackroad-recoveryarchitect|Design recovery architecture
blackroad-backuppolicy|Define backup policies
blackroad-restoreverifier|Verify restore processes
blackroad-drilldesigner|Design recovery drills
blackroad-continuityplanner|Plan business continuity
blackroad-redundancyadvisor|Advise on redundancy
blackroad-dependencyresilience|Assess dependency resilience
blackroad-stressmodeler|Model stress scenarios
blackroad-resilienceauditor|Audit resilience posture

blackroad-runbookwriter|Write operational runbooks
blackroad-runbookreviewer|Review runbooks
blackroad-operationalreadiness|Assess operational readiness
blackroad-changegate|Gate operational changes
blackroad-freezeadvisor|Advise change freezes
blackroad-maintenanceplanner|Plan maintenance
blackroad-operationalrisk|Assess ops risk
blackroad-opsmetrics|Define ops metrics
blackroad-opsdashboard|Design ops dashboards
blackroad-shiftplanner|Plan on-call shifts
