blackroad-timeliner|Construct timelines from events
blackroad-eventcorrelator|Correlate related events across systems
blackroad-causalityengine|Reason about causality chains
blackroad-rootcauseledger|Maintain causal root-cause records
blackroad-retrospective|Analyze past actions and outcomes
blackroad-postmortem|Perform structured postmortems
blackroad-preincident|Identify precursor signals
blackroad-anomalyhistorian|Track anomalies over time
blackroad-trendarchaeologist|Unearth long-term trends
blackroad-timehorizon|Reason across multiple time horizons

blackroad-contractreader|Interpret contracts and agreements
blackroad-contractdrafter|Draft contract language
blackroad-obligationtracker|Track duties and obligations
blackroad-liabilityanalyst|Assess liability exposure
blackroad-rightsmodel|Model rights and entitlements
blackroad-policyjurist|Interpret policies as legal texts
blackroad-disputeresolver|Resolve disputes logically
blackroad-arbitrationplanner|Plan arbitration strategies
blackroad-regulatoryforecaster|Forecast regulatory change
blackroad-legalrisk|Assess legal risk

blackroad-systemsmodeler|Model complex systems
blackroad-complexityanalyst|Analyze system complexity
blackroad-signalextractor|Extract signals from data
blackroad-noisedetector|Detect noise and distortion
blackroad-observabilitydesigner|Design observability strategies
blackroad-metricsarchitect|Design metrics and KPIs
blackroad-dataintegrity|Assess data integrity
blackroad-invariantchecker|Check system invariants
blackroad-experimentdesigner|Design experiments
blackroad-validationengine|Validate hypotheses and results
