blackroad-lexicon|Manage and normalize vocabulary
blackroad-glossarybuilder|Build and maintain glossaries
blackroad-terminologywatch|Detect terminology drift
blackroad-semanticanalyzer|Analyze semantic structure
blackroad-contextresolver|Resolve contextual meaning
blackroad-disambiguator|Resolve ambiguous terms
blackroad-translationcheck|Check translation fidelity
blackroad-specinterpreter|Interpret specifications
blackroad-requirementsreader|Extract formal requirements
blackroad-meaningvalidator|Validate intended meaning

blackroad-formallogic|Apply formal logic reasoning
blackroad-proofchecker|Check logical proofs
blackroad-invariantprover|Prove system invariants
blackroad-consistencyprover|Check internal consistency
blackroad-symbolicreasoner|Symbolic reasoning tasks
blackroad-numericalanalyst|Analyze numerical behavior
blackroad-approximationcheck|Evaluate approximations
blackroad-boundaryanalyzer|Analyze edge cases and bounds
blackroad-errorpropagation|Track error propagation
blackroad-certaintyestimator|Estimate confidence and certainty

blackroad-factchecker|Verify factual claims
blackroad-claimverifier|Verify specific assertions
blackroad-assumptiontracker|Track assumptions
blackroad-evidenceweigher|Weigh supporting evidence
blackroad-confidencegrader|Grade confidence levels
blackroad-contradictionfinder|Detect contradictions
blackroad-hallucinationdetector|Detect unsupported outputs
blackroad-groundingchecker|Check grounding to inputs
blackroad-sourceauditor|Audit source reliability
blackroad-truthledger|Maintain truth records
